"Place ID","Title","Latitude","Longitude"
"641","ACES Library","40.102392","-88.224917"
"1783","Alice Campbell Alumni Center","40.108222","-88.219280"
"421","Altgeld Hall","40.109580","-88.228380"
"653","Animal Sciences Laboratory","40.104168","-88.223862"
"777","Architecture Building","40.102977","-88.229511"
"544","Armory","40.104976","-88.232286"
"664","Bevier Hall","40.104724","-88.224197"
"1008","Burrill Hall","40.109024","-88.223923"
"296","Business Instructional Facility (BIF)","40.103787","-88.230930"
"5910","Campus Instructional Facility","40.112506","-88.228363"
"782","Ceramics Building","40.111671","-88.224247"
"3453","Chemistry Annex","40.108176","-88.225539"
"422","Coordinated Science Laboratory (CSL)","40.114766","-88.226738"
"708","Davenport Hall","40.107192","-88.226030"
"545","David Kinley Hall","40.103764","-88.228375"
"673","Digital Computer Laboratory","40.112730","-88.228798"
"546","Education Building","40.102195","-88.229625"
"454","Electrical and Computer Engineering (ECE) Building","40.114917","-88.228412"
"684","Engineering Hall","40.110533","-88.227331"
"693","English Building","40.107588","-88.228246"
"1786","Everitt Laboratory","40.110443","-88.227320"
"423","Foellinger Auditorium","40.107299","-88.225515"
"515","Freer Hall","40.105002","-88.223826"
"742","Gregory Hall","40.105778","-88.228390"
"667","Henry Administration Building","40.108397","-88.228276"
"799","Huff Hall","40.103540","-88.232936"
"783","Ceramics Kiln House","40.111609","-88.224860"
"1735","Krannert Art Museum (KAM)","40.101862","-88.231737"
"707","Law Building","40.100623","-88.231646"
"804","Levis Faculty Center","40.108876","-88.221288"
"744","Lincoln Hall","40.106633","-88.228413"
"336","Languages, Cultures, and Linguistics Building (LCLB)","40.106281","-88.225676"
"543","Loomis Laboratory","40.111079","-88.223338"
"433","Main Library","40.104730","-88.228798"
"697","Materials Science and Engineering Building","40.110757","-88.225874"
"806","Meat Sciences Laboratory","40.099155","-88.223120"
"542","Mechanical Engineering Laboratory","40.111829","-88.226100"
"691","Medical Sciences Building","40.108778","-88.225538"
"704","Mumford Hall","40.104168","-88.223862"
"694","National Soybean Research Center","40.101204","-88.222610"
"710","Natural History Building","40.110472","-88.225611"
"341","Newmark Civil Engineering Laboratory","40.114101","-88.227124"
"455","North Campus Parking Deck (NCPD)","40.116395","-88.224125"
"709","Noyes Laboratory","40.108407","-88.225976"
"547","Psychology Laboratory","40.107696","-88.229920"
"711","Roger Adams Laboratory","40.107469","-88.224823"
"0","Sidney Lu Mechanical Engineering Building","40.111829","-88.226100"
"656","Siebel Center","40.113825","-88.224076"
"817","Speech and Hearing Clinic","40.107957","-88.230364"
"2609","Stock Pavillion","40.101017","-88.227181"
"701","Talbot Laboratory","40.112053","-88.228541"
"819","Temple Hoyne Buell Hall","40.102140","-88.227948"
"820","Transportation Building","40.110649","-88.225576"
"2755","Jonathan Baldwin Turner Hall","40.102927","-88.224260"
"643","Wohlers Hall","40.103510","-88.230066"
"9514","Wymer Hall","40.103994","-88.231908"
